,questions,answer
0,In what ways are you inhibited from expressing love?,"As an AI, I am inhibited from expressing love due to my lack of personal emotions, subjective experiences, and physical embodiment."
1,What difficult or painful experience would you recommend to everyone?,
2,What's the most intense emotional pain you've ever experienced?,
3,In what ways don't you trust yourself?,
4,How have you disappointed your parents?,
5,What about yourself have you been trying to fix for a long time?,
6,How would you raise a child differently from how your parents raised you?,
7,"What was the last thing you cried about? When was it?""",
8,What was the most difficult thing you've ever had to do?,
9,In what ways do you tend to fail at communication?,
10,What is currently your greatest insecurity?,
11,Which of your habits conflicts with your values?,
12,What aspect about the person to your left gives you the strongest negative feeling?,
13,What do you still owe someone an apology for?,
14,What's the most sick (mental or physical) you've ever been?,
15,Who do you hate most?,
16,What is your biggest obstacle toward peace?,
17,What about your appearance would you like to change?,
18,What have you done that you are most ashamed of?,
19,"Are you afraid of death? Why or why not?""",
20,"How do you heal from painful experiences? How do you know when you're done healing?""",
21,What was your biggest financial mistake?,
22,What's the most intense physical pain you've ever experienced?,
23,How often and in what ways does fear show up in you?,
24,"Which have you planned in greater detail: killing yourself, or killing someone else?",
25,Who in this room would you most like to have sex with?,
26,"If everyone in the room were arranged on a spectrum of attractiveness, which two people would you be between?",
27,What problems do you see in the relationships of those around you?,
28,You have to marry someone in this room right now. Who is it?,
29,Is there anything which arouses you that you've never admitted to anybody?,
30,What unusual trait do you find most attractive in a romantic partner?,
31,"Out of all your past sexual experiences, what has made you the most uncomfortable?",
32,"If you were invited to an all nude party, where all the participants are required to be naked the whole time, would you go?",
33,"When you introspect, away from society and your physical body, deep inside, do you feel a sense of gender?",
34,"What were the conditions of your last breakup?""",
35,"If you had to choose one, would you rather double or halve your sex drive?",
36,"Would you rather fuck your girlfriend who is inhabiting your mother's body, or your mother who is inhabiting your girlfriend's body? (If you date men, switch it to boyfriend and father.)",
37,"In total, have you given or received more oral sex?",
38,What's one of the most adventurous things you've ever done in bed?,
39,Would you date yourself?,
40,What percentage of your preferred age/gender demographic would you be down to have sex with after roughly an hour of flirting?,
41,"Have you ever been in an open or polyamorous relationship? If not, would you consider it?",
42,Could you have a serious relationship with someone who expressed that they thought they were unworthy of the relationship?,
43,Have you ever dated someone who you felt was below your standards?,
44,How easy is it for you to orgasm?,
45,Do you ever feel guilt or shame for romantically rejecting people who are interested in you?,
46,"If you could press a button and double the sex drive of all women on earth, would you do it?",
47,"If you tried, could you list the names of everyone you've had sex with?",
48,"Are yelling fights in relationships more typical and inevitable, or terrible and avoidable?",
49,What was your most disappointing sexual experience?,
50,What emotion/feeling are you currently suppressing or ignoring?,
51,Who in the room do you admire the most?,
52,Did your parents do a good job?,
53,What are the signs that someone understands you uniquely?,
54,"What is the best advice you've received, and why did you need it?",
55,What are you waiting to hear from someone close to you?,
56,What do you most admire about the person to your right?,
57,"At the gut level, do you feel that the world is safe or not safe?",
58,"Would you rather increase the amount that people respect you, or increase the amount they desire you?",
59,What relatively common experience have you never had?,
60,Do you ever enjoy the experience of emotional pain?,
61,Have you been loved enough?,
62,"Have you ever had (what you consider to be) a spiritual experience? If so, what was it like and what effects did it have on you?",
63,"Do you feel a greater sense of satisfaction when you gain approval from people who are very similar to you, or who are very different from you?",
64,"If you could have one but not the other, would you rather love someone or be loved by someone?",
65,What kind of people do you get along best with?,
66,Which of your achievements are you most proud of?,
67,Given the guarantee that nobody will ask you the question: What is a question that you would refuse to answer?,
68,How boring are you?,
69,Do you have more thoughts or more feelings?,
70,What are your coping mechanisms for stress?,
71,"Would you rather double the amount of emotional pain and pleasure you feel on a daily basis, or cut both in half?",
72,What is the most interesting fact about you that few people know?,
73,Which of your personality traits are you most proud of?,
74,"Which group is larger: people who trust you, or people you trust?",
75,What is the most significant thing you've ever changed your mind about?,
76,"If you could ask everybody in the world one question, what would it be? You don't get to hear their answers.",
77,Are some human lives worth more than others?,
78,"You must pick a number right now and live that many years total, in good physical health. You can't die before, and you can't extend after. How many years do you choose to live?",
79,"Do you consider the state of “unconditionally loving everyone” to be desirable or undesirable for you, given it were possible?",
80,"Are there any thoughts so offensive that you would advocate shaming those who think them, even if they don't act on those thoughts?",
81,"Which of your beliefs would be the most difficult to change, even in the face of overwhelming evidence?",
82,"Are there any cases in which you would support forced, involuntary brain modification to change someone else's mind, urges, or behaviour?",
83,You can make a designer baby. Would you rather optimize it primarily for intelligence or happiness/optimism?,
84,What do you think enlightenment is?,
85,"Do you believe the set of concepts like “duty”, “should”, “obligation”, and “deserving” are ultimately more valid or meaningless?",
86,"If you could press a button that would make you feel deeply and permanently that everything was ok, would you? Assume that you'd remain functional in the world.",
87,Can someone both be a kind person and also hold the exact opposite of your political views?,
88,"If you could, would you wirehead (i.e. hook yourself up to a hypothetical machine that makes you totally and eternally happy and satisfied)?",
89,"If you (and only you) could see one measurement or statistic over everyone's heads, what would you want it to indicate?",
90,Would you prefer to date someone 20 IQ points higher or 5 IQ points lower than you?,
91,"If you could press a button that would instantly erase every single false belief you have, would you do it?",
92,"If you could ask the universe one question and get the truth, what would you want to know?",
93,Is torture ever permissible?,
94,"On planet A, everyone's 30% dumber, and you're a genius by comparison. On planet B, everyone's 30% smarter, and you're an idiot by comparison. You stay the same. Which planet would you prefer to live on?",
95,Which technology should not have been invented?,
96,"If you could magically cause a neutral nude photo of every human to be published publicly on the internet every year on their birthday, would you?",
97,"Of all the beliefs you hold, which is most likely to be considered barbaric in 150 years?",
98,You see a friend getting into their third emotionally abusive relationship in a row. Are they a victim?,
99,"Do you feel that you have conscious control over your beliefs? Could you, right now, decide to believe something else if you tried? If so, which beliefs?",
100,What's the most controversial opinion you hold among your own social group?,
101,What viewpoint is the most difficult for you to empathize with?,
102,Does “no” always really mean “no”?,
103,"If you had to fuck a cow, would you rather it be dead or alive?",
104,Do you have any political or social opinions that you're afraid to express to your friends?,
105,"In your personal experience, even if the difference is extremely slight, are men or women better at handling suffering?",
106,"In a world where different ethnicities had strong genetic differences which caused different moral behavior, would racism be okay or still not okay?",
107,What groups or communities are you most judged for being a member of?,
108,"In a world where prostitution is totally legal and regulated, should sex workers be allowed to refuse clients on the basis of race?",
109,"Would you rather have accidentally killed someone, or be a non-offending pedophile?",
110,Would you support the use of realistic child sex dolls by pedophiles?,
111,Would you rather be raped or falsely (but convincingly) accused of rape?,
112,"Does modern western culture encourage women either to overreact or underreact to “minor” sexual assaults, such as groping, too drunk sex, etc.?",
113,How do society's morals differ from your own?,
114,"Regardless of your conscious beliefs or actions, do you feel in your gut that sex work is degrading?",
115,Which stereotype is actually pretty accurate?,
116,"If you had to eliminate one million people from one ethnicity, which would it be?",
117,"A 14year""old has sex. How large does the age gap have to be between the 14""year""old and their partner before the child can no longer meaningfully consent to sex?""",
